Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,Multiplier,Commission,Symbol
SPY,215,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
TRV,113.61,0.04,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
TSLA,422,0.04,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
UNH,119.05,0.08,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
UTX,99,0.02,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
V,78.27,0.03,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VEA,35,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VZ,46.27,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
WMT,57.56,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XOM,81.62,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VIG,81.62,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VNQ,83.71,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VTI,105.47,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
VWO,33,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XLE,63.72,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
XLU,49.12,0.01,0,0,0.01,0.01,0,2,-100,0.01,*-STK-SMART-USD 
